YEAR,MAX,MIN,MEAN
1901,28.96,19.51,24.23
1902,29.22,19.44,24.33
1903,28.47,19.25,23.8
1904,28.49,19.22,23.86
1905,28.3,19.03,23.71
1906,28.73,19.51,24.12
1907,28.65,19.08,23.87
1908,28.83,19.09,23.95
1909,28.38,19.13,23.78
1910,28.53,19.01,23.77
1911,28.62,19.31,23.96
1912,28.95,19.27,24.11
1913,28.67,19.09,23.88
1914,28.66,19.41,24.03
1915,28.94,19.64,24.29
1916,28.82,19.34,24.08
1917,28.11,19.02,23.56
1918,28.66,19.02,23.83
1919,28.66,19.37,24.01
1920,28.76,19.07,23.91
1921,28.86,19.54,24.33
1922,28.8,19.32,24.05
1923,28.74,19.36,24.05
1924,28.8,19.52,24.15
1925,28.67,19.24,23.95
1926,28.7,19.37,24.04
1927,28.59,19.3,23.94
1928,28.98,19.61,24.29
1929,28.76,19.4,24.08
1930,28.65,19.21,23.93
1931,29.15,19.73,24.44
1932,29.09,19.32,24.21
1933,28.49,19.35,23.92
1934,29.03,19.22,24.13
1935,28.76,19.21,23.98
1936,28.71,19.53,24.12
1937,28.7,19.25,23.98
1938,28.7,19.28,23.98
1939,28.85,19.16,24.01
1940,28.88,19.24,24.06
1941,29.46,19.85,24.65
1942,28.98,19.45,24.22
1943,28.8,19.06,23.93
1944,28.89,19.18,24.03
1945,28.97,18.89,23.92
1946,29.37,19.38,24.42
1947,28.84,19.23,24.04
1948,28.73,19.49,24.11
1949,28.89,19.28,24.08
1950,28.47,18.95,23.71
1951,29.09,19.36,24.22
1952,29.16,19.51,24.34
1953,29.43,19.71,24.57
1954,28.92,19.33,24.13
1955,28.76,19.19,23.97
1956,28.63,19.29,23.96
1957,28.64,19.3,23.97
1958,29.34,19.92,24.62
1959,29.02,19.6,24.3
1960,29.31,19.27,24.29
1961,28.72,19.27,24
1962,28.89,19.2,24.04
1963,29.04,19.28,24.15
1964,29.09,19.11,24.1
1965,29.16,18.98,24.07
1966,29.41,19.31,24.36
1967,29.14,19.08,24.11
1968,29.07,18.83,23.94
1969,29.61,19.32,24.46
1970,29.47,19.16,24.26
1971,29.15,18.77,23.91
1972,29.31,18.91,24.1
1973,29.44,19.38,24.41
1974,29.26,18.76,24
1975,28.89,18.62,23.74
1976,29.27,18.9,24.07
1977,29.41,19.31,24.35
1978,29.23,19.25,24.24
1979,29.63,19.55,24.57
1980,29.58,19.53,24.55
1981,29.32,19.25,24.27
1982,29.12,19.21,24.15
1983,29.11,19.14,24.12
1984,29.28,19.25,24.26
1985,29.61,19.3,24.45
1986,29.33,19.09,24.2
1987,29.72,19.42,24.57
1988,29.55,19.33,24.42
1989,29.18,18.96,24.03
1990,29.14,19.29,24.21
1991,29.32,19.29,24.28
1992,29.23,19.15,24.15
1993,29.55,19.34,24.43
1994,29.46,19.48,24.46
1995,30.18,20.39,25.29
1996,29.58,19.55,24.55
1997,29.05,19.21,24.1
1998,29.7,19.84,24.76
1999,29.81,19.53,24.67
2000,29.75,19.48,24.6
